line,text,uniqueID
405,more than what we need what's the price,ep001
408,five hundred and sixty nine thousand,ep001
411,nine hundred okay so still within budget,ep001
414,well higher than I wanted to go so let's,ep001
417,go take a look inside,ep001
420,like the entryway it's a huge high,ep001
423,ceilings,ep001
426,you guys find like a second level over,ep001
429,here is your formal living room I'm a,ep001
432,fan of formal living rooms even though,ep001
435,he really could care she was kind of,ep001
438,like a waste of space to me you're gonna,ep001
441,get this space when you're in this much,ep001
444,square footage right which is why we,ep001
447,"need 3,000 square feet I don't like that",ep001
450,it's carpet I would prefer to have,ep001
453,hardwood all throughout but that's not,ep001
456,you can definitely add I personally,ep001
459,really like a formal dining room another,ep001
462,waste of space to me but lots of times,ep001
465,whenever we have people over we even use,ep001
468,it with like our buffet table,ep001
471,and then this is your family room I like,ep001
474,how it's got high ceilings beautiful,ep001
477,views aren't the views from here that's,ep001
480,gorgeous in here right the kitchen here,ep001
483,is really pretty how it opens up it's no,ep001
486,white it just started a little too,ep001
489,orange to me in the backsplash is beige,ep001
492,and the countertops are dark I don't,ep001
495,know it's just not necessarily my style,ep001
498,and I like the size of this island I,ep001
501,don't know if we necessarily need a prep,ep001
504,sink here but anyway they head outside,ep001
507,to see the yard so here's your spiral,ep001
510,staircase how awesome is this careful,ep001
513,it's a little tight I wouldn't want to,ep001
516,come down this after having a couple,ep001
519,drinks that's for sure look at your gas,ep001
522,fire pit over here it's massive,ep001
525,now I know you don't golf however I,ep001
528,think having a putting green in your,ep001
531,backyard is awesome I don't know I don't,ep001
534,know if we'd ever use it I feel like if,ep001
537,we had room for a trampoline that would,ep001
540,give our kids hours of entertainment as,ep001
543,opposed to maybe 10 minutes of,ep001
546,entertainment hitting balls in a hole I,ep001
549,don't know back inside they see the,ep001
552,finished basement oh looks like a great,ep001
555,spot so this is technically the fifth,ep001
558,bedroom,ep001
561,you have a barn door anyhow oh wow look,ep001
564,at this I think this would make a great,ep001
567,play area where the opening was all our,ep001
570,toys could go in here right this is,ep001
573,amazing,ep001
576,do you love it I love it this is a great,ep001
579,space I think the house is really too,ep001
582,big for what we need but a basement,ep001
585,makes up for a lot it's more than I,ep001
588,could have asked for there's also a full,ep001
591,bath on this level there's a urinal well,ep001
594,what do you think I think it's pretty,ep001
597,awesome I don't know if I've ever seen a,ep001
600,urinal in a house was this ever on your,ep001
603,wish list it is now up to levels they,ep001
606,see three bedrooms and a full bath been,ep001
609,down the hall is the master suite I like,ep001
612,the French doors coming in it's nice and,ep001
615,high ceilings too honey right good-size,ep001
618,the tub has a nice view is this the kids,ep001
621,bathroom I was just noticing that this,ep001
624,is kind of my height here it's a little,ep001
627,little very short down there Nicole,ep001
630,sighs I really wanted to love this house,ep001
633,kind of bit of a craftsman look that I,ep001
636,wanted it was this two-story that's,ep001
639,plenty of space I think it's got a,ep001
642,little more house than we need and,ep001
645,there's a lot of things that we'd want,ep001
648,to change yeah talk about adding,ep001
651,hardwood floors gets expensive yeah top,ep001
654,of our budget already yeah but it's got,ep001
657,great views,ep001
660,I had the basement it has a WOW factor,ep001
663,yeah a sment cannot be beat but the,ep001
666,backyard need a big space for the kids,ep001
669,and I just don't think we have it in,ep001
672,this house yeah so their agent has lined,ep001
675,up a ranch for Ethan but found a call,ep001
678,this is a little bit from the 70s,ep001
681,Ethan Danielle and their two kids have,ep001
684,just moved to Spokane Washington and are,ep001
687,looking to buy a house within a budget,ep001
690,"of $600,000 so far they've seen a",ep001
693,two-story craftsman Danielle's ideal,ep001
696,style but it was at the top of their,ep001
699,budget and it wasn't the ranch piece of,ep001
702,Wands so today their agent has lined up,ep001
705,a home for Ethan,ep001
708,Wow Nicole this is a little bit from the,ep001
711,70s yes I knew you're gonna say that,ep001
714,don't judge it by the curb appeal this,ep001
717,house actually has a ton to offer and,ep001
720,it's the ranch-style I was looking for,ep001
723,it's 5 bedroom 4 bath the square footage,ep001
726,"here is about 4,300 square feet big",ep001
729,house okay we're a small family we have,ep001
732,two kids we don't need four thousand,ep001
735,plus square feet the price on this is,ep001
738,lower than you guys were wanting it's,ep001
741,four hundred and sixty four thousand,ep001
744,five hundred okay interesting you have,ep001
747,"$100,000 to do whatever you want to this",ep001
750,house because it's way under budget,ep001
753,we're gonna have to keep that in mind,ep001
756,got the hardwood floors right it does,ep001
759,it's just an interesting space there's,ep001
762,really nothing in here except for it,ep001
765,just opens to the outside which could be,ep001
768,nice for entertaining right yes access a,ep001
771,lot of these older ranch homes are very,ep001
774,you know smaller rooms more closed off,ep001
777,might I've seen where they've taken,ep001
780,walls out and made them you know more of,ep001
783,that open feel okay so I'm gonna think,ep001
786,about as far as the stone on the,ep001
789,fireplace goes I actually kind of liked,ep001
792,that one you do like the white we do the,ep001
795,kitchens a little smaller than I know,ep001
798,you would like it does have your white,ep001
801,cabinets Danielle that was on your wish,ep001
804,list yeah,ep001
807,oh gosh this kitchens really small oh it,ep001
810,is with all this open space probably,ep001
813,expand the kitchen right it would be an,ep001
816,option you just keep a fireplace right,ep001
819,in the middle of your kitchen why not,ep001
822,I'm down for a renovation I think it's,ep001
825,fun to look at a place and see what you,ep001
828,can do with it if we revamp it and I can,ep001
831,bring in all new cabinets and all new,ep001
834,everything it could possibly be my,ep001
837,kitchen so that to me kind of pulls me,ep001
840,in a little bit they see a formal dining,ep001
843,room a full bath right off the kitchen,ep001
846,kind of an awkward space but then head,ep001
849,downstairs to the basement good,ep001
852,entertainment play area downstairs this,ep001
855,great great spot for another another TV,ep001
858,another place to watch some football I,ep001
861,do like the wood beams I think those are,ep001
864,pretty cool this is actually a really,ep001
867,large basement you can tell it just,ep001
870,can't keeps going and then in here is,ep001
873,more bedrooms keeps going also on this,ep001
876,level is a full bath there is a sauna,ep001
879,honey that is great ranch floorplan and,ep001
882,a sauna already there awesome my husband,ep001
885,could buy this house is specifically for,ep001
888,the sauna Ethan's always wanted a sauna,ep001
891,in a house so I know he's really gonna,ep001
894,push to be able to have that in his,ep001
897,basement I I know it back upstairs they,ep001
900,see a sunroom lots of beautiful windows,ep001
903,natural I really understand the point of,ep001
906,a sunroom be a great play area for the,ep001
909,kids I agree,ep001
912,and it's pretty back here it is just no,ep001
915,view well I got lots of flat space,ep001
918,plenty of room to run around,ep001
921,yeah back inside they see a bedroom and,ep001
924,the master oh honey it's gold good-sized,ep001
927,now don't kill me when you see the,ep001
930,bathroom look at this bathtub I think I,ep001
933,could fit it just fine let's see let's,ep001
936,see,ep001
939,it's actually like a two-person it's,ep001
942,kind of a gun a bit of a heart-shaped -,ep001
945,but this thing is huge this house is so,ep001
948,Corky it's so Corky and it's cool stuff,ep001
951,but all over that would have to go the,ep001
954,heart-shaped tub would go all that stuff,ep001
957,would go it's a lot of work,ep001
960,well blow our budget gives us gives us,ep001
963,room to spend great basement area mm-hmm,ep001
966,ranch style that I'm looking for there's,ep001
969,a lot of possibilities there are some,ep001
972,charming aspects to this house that I do,ep001
975,like and even though the house doesn't,ep001
978,have a view the backyard is really nice,ep001
981,I'd still like to see some more houses a,ep001
984,2-story so now their agents lined up a,ep001
987,two-story home with a view she hopes,ep001
990,they like but style may be an issue kind,ep001
993,of looks like a barn but we'll see what,ep001
996,we can do,ep001
999,[Music],ep001
1002,do you want to go straight fishing,ep001
1005,you've always talked about one hand go,ep001
1008,fishing,ep001
1011,Danielle and Ethan are moving their,ep001
1014,family from Colorado to Spokane,ep001
1017,Washington working with a budget of up,ep001
1020,"to $600,000 they've seen a two-story",ep001
1023,craftsman Danielle's style but it was,ep001
1026,pricey and Ethan thought it was more,ep001
1029,house than their family needs they've,ep001
1032,also seen a slightly smaller more,ep001
1035,affordable ranch,ep001
1038,Ethan style but it didn't have the views,ep001
1041,they want today they're seeing another,ep001
1044,option it's a little on the large side,ep001
1047,it's seventy one hundred square feet Oh,ep001
1050,however the price on this house is only,ep001
1053,three hundred and fifty five thousand so,ep001
1056,it leaves you a ton for any renovations,ep001
1059,you wanna do and you give each access,ep001
1062,really yeah it's great think of that,ep001
1065,yeah we never even thought about having,ep001
1068,a home that close to the lake it's a bit,ep001
1071,of a giant rectangle though and you can,ep001
1074,tell the other homes around the area are,ep001
1077,all updated but this one certainly isn't,ep001
1080,well for the price you will expect to,ep001
1083,have more of a fixer-upper renovation,ep001
1086,but the bones are great okay kind of,ep001
1089,looks like a barn but uh we'll see what,ep001
1092,we can do,ep001
1095,[Music],ep001
1098,keep an open mind it's kind of nice,ep001
1101,sighs boy hey I am but I'd want to I,ep001
1104,guess I have to see the rest of the,ep001
1107,house,ep001
1110,well I'm gonna take you up to the best,ep001
1113,part of the house first so you guys know,ep001
1116,why I brought you here okay all right,ep001
1119,let's check it out,ep001
1122,I like the wood beams up here yeah the,ep001
1125,tall ceiling yes Wow but look at this,ep001
1128,that is amazing,ep001
1131,isn't this gorgeous okay yeah you can't,ep001
1134,beat this I can see why you brought us,ep001
1137,you're right this is take this all in,ep001
1140,right see the kids playing down on the,ep001
1143,beach swimming around they'd love it,ep001
1146,they would love it living in this house,ep001
1149,would would be like being on vacation,ep001
1152,it's something that's very unique we,ep001
1155,make this what into like an upstairs,ep001
1158,family room instead of having like a,ep001
1161,basement entertainment center area yeah,ep001
1164,we could make this that this house has a,ep001
1167,wackadoodle layout but if we can open,ep001
1170,our minds to actually turning that into,ep001
1173,an upstairs entertaining area it could,ep001
1176,be great for entertaining also on this,ep001
1179,level is the master suite,ep001
1182,it's a very paint it's the size of my,ep001
1185,first apartment this is way more space,ep001
1188,than we need the size of this house is,ep001
1191,too much for anybody danielle has a,ep001
1194,habit to fill whatever space she has so,ep001
1197,if we get a bigger house we will end up,ep001
1200,with more stuff so that's kind of my,ep001
1203,fear it's with a large master you,ep001
1206,definitely need a large master bathroom,ep001
1209,it's a good size we just have to,ep001
1212,completely rework it they see a bedroom,ep001
1215,off the master and then head back,ep001
1218,downstairs to see the main living area,ep001
1221,all right here's a kitchen orange,ep001
1224,cabinets cabinets I have a feeling,ep001
1227,you're gonna say that yeah dated,ep001
1230,[Music],ep001
1233,oh it would be something again that we'd,ep001
1236,fix Daniel and I love to do work on our,ep001
1239,houses we could definitely do work on,ep001
1242,this one it might be too much though,ep001
1245,they see another bedroom and a full bath,ep001
1248,on this level so this is your main floor,ep001
1251,family room I want to show you the two,ep001
1254,remaining bedrooms okay okay okay okay,ep001
1257,pretty much Fathoms it up so saving the,ep001
1260,great view from the main deck for last,ep001
1263,takes you kind of back to what you liked,ep001
1266,about the house to begin with a lot of,ep001
1269,house but where else are we gonna get,ep001
1272,something something like that waking up,ep001
1275,to that every day is it strata but,ep001
1278,that's a lot of renovation inside and we,ep001
1281,don't know what we'd be getting into,ep001
1284,they've seen several houses that could,ep001
1287,be a good fit for their family but their,ep001
1290,choice may come down to style view and,ep001
1293,price honey I think we need to talk,ep001
1296,about this and try to make a decision,ep001
1299,pretty quickly,ep001
1302,[Music],ep001
1305,what do you think about going to a new,ep001
1308,school in Spokane and making new friends,ep001
1311,no Ethan and Danielle are relocating to,ep001
1314,Spokane Washington and they need to buy,ep001
1317,a house for their family within their,ep001
1320,"$600,000 budget what did you think about",ep001
1323,that craftsman 2-story with the putting,ep001
1326,green,ep001
1329,it wasn't really my style but it had an,ep001
1332,open floor plan like we like I had great,ep001
1335,views so that that was a nice thing,ep001
1338,about the basement was amazing I didn't,ep001
1341,like the kitchen though,ep001
1344,because the kitchen has the orange,ep001
1347,cabinets but it's already at the top of,ep001
1350,the top end of the budget so we won't,ep001
1353,really have that much room to you know,ep001
1356,to play with that's it,ep001
1359,so we had my ranch style I like the,ep001
1362,backyard because it was nice and flat,ep001
1365,however there were no view and a great,ep001
1368,basement you think it had a great,ep001
1371,basement cuz there's a sauna however do,ep001
1374,you know what else is in the basement,ep001
1377,the kids bedrooms right we'd have to,ep001
1380,rework that floor plan to actually,ep001
1383,mingle so there's a lot of work to be,ep001
1386,done but it's below budget gives us some,ep001
1389,money to play with what about the lake,ep001
1392,house it's well below budget three,ep001
1395,hundred and fifty five thousand dollars,ep001
1398,I don't know if we could stay in budget,ep001
1401,and renovate that entire house it's,ep001
1404,probably more house than we need the,ep001
1407,views cannot be beat it is amazing,ep001
1410,and we would be crazy not to go with the,ep001
1413,lake house it's a rare opportunity to,ep001
1416,get something with that kind of view and,ep001
1419,that kind of beauty you don't find that,ep001
1422,every day it's such a tough call but I I,ep001
1425,think I know which one I want,ep001
1428,[Music],ep001
1431,I really think for our family they pick,ep001
1434,the craftsmen's gonna work the best I,ep001
1437,think it had a good floor plan the rest,ep001
1440,of the house I think is something with,ep001
1443,it we could work with there are some,ep001
1446,things that don't make sense for us with,ep001
1449,that basement you don't get any better,ep001
1452,than right I really think our family,ep001
1455,could be very happy there well let's,ep001
1458,give it a call a call let's color at,ep001
1461,"$569,000 I get five hundred and seventy",ep001
1464,three thousand nine hundred we closed on,ep001
1467,the house about three weeks ago and,ep001
1470,basically we handed over the keys to,ep001
1473,general contractor and they think it and,ep001
1476,work on the remodel that we're doing,ep001
1479,ever since so we're hoping to be moving,ep001
1482,in in about one week we've made quite a,ep001
1485,few changes we extended hardwood floors,ep001
1488,throughout the entire main level created,ep001
1491,a new office up front where we had the,ep001
1494,formal living room built our wall there,ep001
1497,and now we have a formal dining room but,ep001
1500,instead also an office on the main level,ep001
1503,at the subway tile it's gonna be that,ep001
1506,extra long waiting subway tile like that,ep001
1509,that's gonna be nice yeah I'm gonna do,ep001
1512,offset yeah yeah with like a black route,ep001
1515,could look pretty cool with all the,ep001
1518,other black hardware that we're doing in,ep001
1521,here I think that looked pretty sure we,ep001
1524,didn't quite get Danielle her whole,ep001
1527,white kitchen but we did do some new,ep001
1530,countertops and a new sink and really,ep001
1533,lighten and brighten that area up I,ep001
1536,think,ep001
1539,and then the fireplace you totally redid,ep001
1542,the fireplace and now it's a really cool,ep001
1545,accent piece in the house I love it what,ep001
1548,gets me about this house every time I,ep001
1551,walk in the door is the views the views,ep001
1554,are spectacular and the basement,ep001
1557,maybe he's pretty cool I think we can't,ep001
1560,wait to have our first get-together,ep001
1563,where's your putter Enola and the kids,ep001
1566,so far you don't mean we just stopped by,ep001
1569,the house and to see how the,ep001
1572,construction is going and such the kids,ep001
1575,automatically just run to the backyard,ep001
1578,and start golfing and they love the,ep001
1581,putting green they love it that's how,ep001
1584,you do it she's cheating finding the,ep001
1587,right house for us it was really,ep001
1590,important I think this is a great home,ep001
1593,for our family where we can grow it's a,ep001
1596,good place for our family to start our,ep001
1599,lives here in Spokane,ep001
12,look at that chandelier that's exactly,ep002
15,what I wanted my walk-in closet,ep002
18,part-time pageant queen Lulu is looking,ep002
21,for a bigger home in Coconut Creek,ep002
24,Florida and a huge walk-in closet is,ep002
27,number one on her list the queen has,ep002
30,entered husband Charlie just wants a,ep002
33,home on a golf course I don't want any,ep002
36,balls flying through the windows what is,ep002
39,that looks like a golf ball has been,ep002
42,through here and they have different,ep002
45,priorities when it comes to the kitchen,ep002
48,I know you knew Sophia but I'm the cook,ep002
51,not Lulu I know I don't,ep002
54,[Music],ep002
57,hi guys how are you I'm Lulu I'm an,ep002
60,admissions director by day and pageant,ep002
63,queen by night I'm Charlie I'm working,ep002
66,social services and a full-time football,ep002
69,official babe you know how I eat my,ep002
72,cheese so good nice good he met at a,ep002
75,fast food restaurant out of all places I,ep002
78,looked up and there was a tall handsome,ep002
81,man across the way under 80 pounds of,ep002
84,twisted steel and sex appeal babe I,ep002
87,think our first date was at a Mexican,ep002
90,restaurant that's when I recognized the,ep002
93,feet was about the same size is nice oh,ep002
96,my god and here we are 15 years later,ep002
99,we're celebrating our five year,ep002
102,anniversary this coming September what,ep002
105,do you think lemon I started patting,ep002
108,treat in college but what I love about,ep002
111,it is the friendships that are made,ep002
114,pageantry is a passion it's lots of,ep002
117,court her both Florida natives they,ep002
120,settled in the city of Coconut Creek,ep002
123,about five years ago it's the butterfly,ep002
126,capital the world mm-hmm about 30 miles,ep002
129,north of Miami it's just Charlie and I,ep002
132,and our little Pomeranian Chico well,ep002
135,we're looking to grow our family um,ep002
138,we're gonna try to have a child soon so,ep002
141,they want to upgrade from their starter,ep002
144,home to something with more space and,ep002
147,Lulu would prefer a low-maintenance,ep002
150,new-build townhome a Mediterranean style,ep002
153,home I love that look I think it's just,ep002
156,beautiful in social order I would like a,ep002
159,a single-family ranch home on a golf,ep002
162,course I think a wrench home fits better,ep002
165,on a golf course then the type of home,ep002
168,that you like when I hear ranch-style I,ep002
171,think lots of work lots of maintenance,ep002
174,just a lot of upkeep you know I'm pretty,ep002
177,high maintenance so I don't want to do,ep002
180,as much work she's not crazy about,ep002
183,living on a golf course either when,ep002
186,you'd like a house like that no I don't,ep002
189,want any balls flying through the,ep002
192,windows I really want a two-story I want,ep002
195,all the bedrooms to be upstairs but,ep002
198,going up and down stairs all the time,ep002
201,it's good actors,ep002
204,I prefer just to have it on one level I,ep002
207,love the feel of carpet you know between,ep002
210,my toes,ep002
213,maybe tile downstairs and carpet you,ep002
216,know upstairs you do have a pet so I,ep002
219,prefer to have the wood floors ah my,ep002
222,crowns can't forget about my cards,ep002
225,I am a pageant queen and I own a lot of,ep002
228,gowns a lot of crowns and a lot of,ep002
231,sashes I really want a huge walk-in,ep002
234,closet I want a separate shower and,ep002
237,Roman tub because he likes to take baths,ep002
240,I like to take showers dual vanities in,ep002
243,the Masters because I don't want him,ep002
246,near my space okay so I'm the cook you,ep002
249,know one morning she decided to make me,ep002
252,breakfast right oh so I'm in the bed and,ep002
255,I hear this explosion mmm she got two,ep002
258,eggs in the microwave and I know that,ep002
261,we're gonna explode that point I say,ep002
264,that's it I'm the cook for me all I need,ep002
267,is this uh you know up today stove I,ep002
270,want an iridescent backsplash I think,ep002
273,that's so beautiful I love how the light,ep002
276,hits it stainless steel appliances even,ep002
279,though I can't cook I look good in it,ep002
282,he'd also like an open floor plan and a,ep002
285,big yard to entertain friends and family,ep002
288,so you guys have a big list I'll be,ep002
291,really on and it's not the same list,ep002
294,Sophia is my pageant sister we actually,ep002
297,competed in pageants and she has been a,ep002
300,friend ever since I'd like to stay in a,ep002
303,low 300s right babe I think we can go up,ep002
306,to 350 definitely I'm more willing to,ep002
309,compromise in this relationship but also,ep002
312,want to keep her grounded,ep002
315,he has common sense you know I don't,ep002
318,have much of that sometimes it's all,ep002
321,about Lulu it is in a good way first up,ep002
324,they're seeing a new construction,ep002
327,townhome beautiful townhouse a,ep002
330,Mediterranean style I love it how much,ep002
333,is this this is going for 334 and a one,ep002
336,car garage huh yeah okay enough to beYOU,ep002
339,know put my car in there Charlie just,ep002
342,give it a chance,ep002
345,see what we got come on and,ep002
348,like it's a little narrow although it is,ep002
351,narrow you do have the natural light,ep002
354,coming in so it gives it a lot bigger,ep002
357,and more holes and feel nice formal,ep002
360,dining area we have a lot of friends and,ep002
363,family over Sofia so definitely wanted a,ep002
366,big dining room little bit in one story,ep002
369,like I asked for a lot more room right,ep002
372,solo is gonna be right here a dining,ep002
375,room table right here I think it's,ep002
378,enough space I don't know about your 40,ep002
381,people you know maybe one at a time yes,ep002
384,[Applause],ep002
387,but I know that you did say the dining,ep002
390,room was a little bit smaller than you,ep002
393,want it but this one can compensate this,ep002
396,can be a dining room I'm not thinking,ep002
399,dining room though,ep002
402,maybe a family room area where the huge,ep002
405,television screen now while you're doing,ep002
408,there watching Sunday football I know my,ep002
411,girl Lulu gonna come in here and just,ep002
414,whip it Lulu what I like is open it's,ep002
417,not closed in look at the backsplash yes,ep002
420,beautiful I know I don't cook but I look,ep002
423,good in it stainless steel appliances,ep002
426,everything is brand-new you are touching,ep002
429,it first yeah like the stove I,ep002
432,definitely think out here will be,ep002
435,something you guys would really enjoy,ep002
438,very peaceful very quiet well I did want,ep002
441,something to love it bigger though you,ep002
444,know so we can have our family and,ep002
447,friends over my concern is that Chico's,ep002
450,gonna run up and down you know the yard,ep002
453,here and I hopefully our neighbors don't,ep002
456,get annoyed by that they head back in to,ep002
459,see the upstairs bedrooms upstairs not,ep002
462,one of the things I won't it so here you,ep002
465,have bedroom one oh and then you have,ep002
468,your bedroom two both very bright,ep002
471,lighting this would be perfect for the,ep002
474,baby room 18 steps to get up here but,ep002
477,yeah good exercise okay but the carpet,ep002
480,gotta go,ep002
483,I got a do a wood floors down the,ep002
486,hallway we have your full bathroom for,ep002
489,your guests okay I like it,ep002
492,I'm liking a lot now here is your palace,ep002
495,your master bedroom,ep002
498,wow look how big it is,ep002
501,yes like the SAS you're full walk-in,ep002
504,closet wow this is it the Queen has,ep002
507,entered the past all my gowns and crowns,ep002
510,and that chandelier right now here's,ep002
513,something I know you both will enjoy,ep002
516,you're a very large master bathroom with,ep002
519,dual vanities you both have your own,ep002
522,sink Charlie you have your side over,ep002
525,there I have my side no more sharing I,ep002
528,like it it's a big you know standing,ep002
531,shower but the top would have been great,ep002
534,yeah a jetted tub wouldn't be a really,ep002
537,nice big wooden perfect perfect it was,ep002
540,beautiful I really like the exterior it,ep002
543,had the double vanity and the walk-in,ep002
546,closet,ep002
549,that was phenomenal I didn't want to go,ep002
552,upstairs actually accommodate was 18,ep002
555,steps it wasn't on a golf course right,ep002
558,and then the backyard wasn't big enough,ep002
561,for me and my family so now it's,ep002
564,Charlie's turn is it on a golf course it,ep002
567,is on a golf course so that's the roof,ep002
570,that is my roof,ep002
573,[Music],ep002
576,look at that chandelier yeah that's,ep002
579,exactly what I wanted my walk-in closet,ep002
582,Charlie and Lulu want to upgrade to a,ep002
585,bigger home in Coconut Creek Florida he,ep002
588,wants a one-story single-family ranch on,ep002
591,a golf course she wants a two-story,ep002
594,Mediterranean townhome with a huge,ep002
597,walk-in closet for all of her pageant,ep002
600,gowns he's hoping to find something,ep002
603,priced in the low 300s but she's ready,ep002
606,to spend up to three hundred and fifty,ep002
609,thousand dollars for the right house,ep002
612,they've seen a two-story Mediterranean,ep002
615,townhome with a huge walk-in closet,ep002
618,but no golf course or big yard for,ep002
621,Charlie today they're seeing a home in a,ep002
624,Gulf community it's a beautiful,ep002
627,ranch-style house 3 bedroom 3 full,ep002
630,bathroom home listed for 349 tell me a,ep002
633,little bit more is it on a golf course,ep002
636,it is on a golf course of course he,ep002
639,likes that there is an HOA 125 but that,ep002
642,also compensates for the golf course,ep002
645,okay,ep002
648,and so that's the roof that is my roof,ep002
651,but I'm liking this roof over here that,ep002
654,one has been more updated and recently,ep002
657,by the owners but you guys can also,ep002
660,change the roof style as well okay so as,ep002
663,you walk in you have this really nice,ep002
666,Clint yard oh I like this maybe an area,ep002
669,for Chieko or just an area where we can,ep002
672,entertain guests oh wow oh look at the,ep002
675,mirrors hot of that,ep002
678,check yourself before you leave great,ep002
681,cathedral ceiling very good natural,ep002
684,lighting coming in and you have this,ep002
687,great open floor plan tile floors I do,ep002
690,have the bar area great for entertaining,ep002
693,like that photoshoot time now you have,ep002
696,the perfect view of your Golf Course,ep002
699,Charlie outside and you have an outside,ep002
702,patio as well so if you even want to sit,ep002
705,outside know about that I just don't,ep002
708,want balls flying at me all day I think,ep002
711,that rarely happens not gonna happen and,ep002
714,the open floor plan actually flows,ep002
