start,uniqueID,text
176,ep121,I would love for it to have a tile shower.
177,ep121,"We know things like that cost money, right?"
178,ep121,"If you want to do tile, that's something we can add down the line."
179,ep121,Mm-hmm. out this closet.
180,ep121,This is huge.
181,ep121,I knew you were gonna like that.
182,ep121,More space for my wigs.
183,ep121,"Maybe I can put, like, a little chandelier or something."
184,ep121,Definitely put a chandelier.
185,ep121,Yay! will be too cute.
186,ep121,I would love it.
187,ep121,One of the secondary bedrooms.
188,ep121,"This would be a my size closet just for you, right?"
189,ep121,"Yes, this is mines."
190,ep121,I actually like having Xavier involved the process.
191,ep121,I like to hear his point of view of things.
192,ep121,He's just claiming everything.
193,ep121,"So, he's already given his stamp of approval 50 times, so."
194,ep121,He loves this house.
195,ep121,There is another room and I think that one will be better suited for grandpa.
196,ep121,"This one isn't a walk-in closet, but you still get a lot of -closet space."
197,ep121,-Okay. that view.
198,ep121,Nice. do love the details.
199,ep121,"I love coffered ceilings, and I love the kitchen."
200,ep121,I'm just still a little iffy about this carpet.
201,ep121,"You know, if I'm paying $300,000, I just want the whole shebang."
202,ep121,"I would like to see something with a bigger yard, uh, a longer driveway, and I want, like, the hardwood floors all throughout the house."
203,ep121,"So, I'll find you something with a bigger yard, but be prepared, -it's probably not gonna be new construction."
204,ep121,"What do you have a taste for, for lunch?"
205,ep121,I think I have a taste for steak.
206,ep121,"Oh, steak?"
207,ep121,"Well, there you go."
208,ep121,Expensive taste.
209,ep121,Xavier's a chip off the old block when it comes to wanting the best.
210,ep121,"His mom, Shaunda's been saving up to buy their first home, but she's having a hard time accepting that $300,000 might not go as far as she'd like."
211,ep121,Look at this yard.
212,ep121,"Hey, guys, What do you think?"
213,ep121,"Oh, my God!"
214,ep121,I am speechless.
215,ep121,"Today, I'm showing Shaunda this amazing house in Conyers."
216,ep121,"It's is listed at $295,000."
217,ep121,"Shaunda's a bit of a diva, so I'm hoping she doesn't hate it because it's not new construction."
218,ep121,It does have a few bumps and bruises.
219,ep121,"You got your nice, long driveway."
220,ep121,-You see that?
221,ep121,-I see.
222,ep121,How many cars can this fit?
223,ep121,"At least six, seven."
224,ep121,-You'll be able to entertain like you want.
225,ep121,"-Yes. got you a lot of curb appeal, but the inside, it is gonna need just a little bit of love Oh, wow."
226,ep121,I love the floor.
227,ep121,The floors have been refinished.
228,ep121,Yeah. chandelier is nice.
229,ep121,Is that the sparkle you were going for?
230,ep121,"Ooh, yes."
231,ep121,That's a lot of sparkle.
232,ep121,-I like it.
233,ep121,-A lot of sparkle.
234,ep121,I like the ceiling.
235,ep121,"Love the ceilings, right?"
236,ep121,Yes. fireplace is nice.
237,ep121,Yeah. it opens right into your kitchen.
238,ep121,No island.
239,ep121,You can always get one of those rollers if you need some extra counter space.
240,ep121,I also noticed the counter tops.
241,ep121,"So, the counter tops are a little dated."
242,ep121,"-So, that's gonna be a little..."
243,ep121,-It is very dated.
244,ep121,...of tender loving care we talked about.
245,ep121,"Just thinking of the extra things that I would have to come up out the pocket for, so."
246,ep121,Yeah. house is listed at a good price.
247,ep121,"However, just considering the things that I have to purchase, it would definitely push me over my 300K threshold."
248,ep121,It's like a nice football field.
249,ep121,I love the yard space.
250,ep121,You can have how many ever dogs you want.
251,ep121,"Xavier, what, four dogs?"
252,ep121,"-One. got space for four, though."
253,ep121,"This is a nice yard, but I am not the type of person to have a riding lawnmower out here."
254,ep121,You can hire someone to some out...
255,ep121,"Yeah, that is an option but it's also an extra cost that I have to add in -There's your landscaper right there."
256,ep121,It's a good idea.
257,ep121,Good idea.
258,ep121,We've got a main suite built for a queen.
259,ep121,"Oh, wow."
260,ep121,I definitely like the cathedral ceilings.
261,ep121,It's really nice.
262,ep121,Let's take a look at this bathroom here.
263,ep121,All right.
264,ep121,This is nice.
265,ep121,You have your jet soak tub.
266,ep121,Yeah. your separate shower.
267,ep121,It's a nice size.
268,ep121,And you have a walk-in closet.
269,ep121,"It's not as big as I would hope for, but..."
270,ep121,Okay. be doable.
271,ep121,This is gonna be your water room.
272,ep121,[all laughing]
273,ep121,"No! expected that she was not gonna be completely in love with the inside because she is a girl who loves her sparkle, okay?"
274,ep121,What I need Shaunda to understand is that it has great bones.
275,ep121,I just think this is so grand for your divaesque personality.
276,ep121,-Hi. people.
277,ep121,"So, we have a room here."
278,ep121,"This could be grandpa's bedroom, right?"
279,ep121,"Yeah. now, I am in the desert."
280,ep121,All of these bathrooms have these horrible wallpapers.
281,ep121,I'm just like ugh.
282,ep121,We can always replace it.
283,ep121,Xavier's gonna like this one.
284,ep121,"-Yes. like this, right?"
285,ep121,I give it three yeses.
286,ep121,It's not finished.
287,ep121,Okay. can be my little studio area or just a gaming area.
288,ep121,"It's fun for me to see Xavier's face just light up on different things, especially with the yard and the basement."
289,ep121,It's a lot of hard work just get to this point and just to see his face light up warm my heart.
290,ep121,"Overall, it is beautiful."
291,ep121,I do like the flooring.
292,ep121,I like the chandelier.
293,ep121,"I don't like that wallpaper, and also the countertops."
294,ep121,"It's just green, just ugh."
295,ep121,"And then, the lack of an island, it's just too much for me to take on, so I think I wanna see something else."
296,ep121,"So, her agent Leslie finds another new build with added bling, but it comes at an added cost."
297,ep121,-A few dollars or so.
298,ep121,-That ain't no few dollars.
299,ep121,Just a few dollars over.
300,ep121,It ain't a few dollars.
301,ep121,"Hmm. I see you rocking your red again, girl."
302,ep121,Red is that power color.
303,ep121,Mm-hmm. need all the power that I can get.
304,ep121,"Today, Leslie's taking them to see a new build in the suburb Lithonia in hopes of finally finding the wow factor Shaunda expects."
305,ep121,But it would require her to go over her limit.
306,ep121,"This one's gonna be a $330,000."
307,ep121,"-Just a little bit over, -a few dollars or so."
308,ep121,-That ain't no few dollars.
309,ep121,Just a few dollars over.
310,ep121,It ain't a few dollars.
311,ep121,Hmm. just a lit bit over.
312,ep121,-Okay. it does have laminate flooring throughout the main level so you don't have to worry about the carpet.
313,ep121,Okay. am liking this community.
314,ep121,"It looks very, very nice."
315,ep121,This is literally the last lot...
316,ep121,-available in this community.
317,ep121,-Really? a little bit.
318,ep121,The driveway doesn't look as long.
319,ep121,"With the new construction, we're not seeing as a long a driveway."
320,ep121,-Mm-hmm. there's ample street parking for your guests.
321,ep121,"Today, I'm showing Shaunda a home listed quite a bit above what she wants to pay."
322,ep121,"However, I wouldn't be doing my job as an agent if I didn't show everything that's available to her."
323,ep121,"I want her to see all of the beautiful things that are available in this new construction house to kind of take her mind off of that additional $30,000."
324,ep121,-I'm loving the brick accent.
325,ep121,Yes. the landscaping is really cute.
326,ep121,I like it.
327,ep121,That dirt is definitely an eye sore.
328,ep121,"Do you have, like, an ETA of when that's gonna be completed?"
329,ep121,It's going to be done in the next few months or so.
330,ep121,"$330,000... take a look inside."
331,ep121,...I be wowed.
332,ep121,Take a look and tell me what you think.
333,ep121,"Oh, this is nice."
334,ep121,-I like the floors.
335,ep121,Uh-huh. you have your living space and your kitchen.
336,ep121,"Wow. just one nice, long space."
337,ep121,I love this island.
338,ep121,It's so big that you could seat people around it.
339,ep121,And what about these cabinets here?
340,ep121,I like how it's coming together.
341,ep121,-It's making the kitchen pop.
342,ep121,Nice. doesn't catch my eye.
343,ep121,I don't like this.
344,ep121,"Okay, well..."
345,ep121,"I welcome your opinion, okay?"
346,ep121,-Thank you.
347,ep121,"-Mm-hmm. this one, you will need to purchase a refrigerator."
348,ep121,"So, what, that's like another $2,500 or so?"
349,ep121,"$2,000 to $4,000 just depending on your style."
350,ep121,"Hmm, so, for 330K, I was..."
351,ep121,Would have been nice if the refrigerator was included in the price.
352,ep121,Let's check out this patio.
353,ep121,-Okay. already liking this.
354,ep121,And look at this glass door.
355,ep121,Ooh! gives you all the light.
356,ep121,I like the size of this deck.
357,ep121,"Easily get some furniture on here, -your grill."
358,ep121,"Mm-hmm. we know you are the queen of entertainment, okay?"
359,ep121,Mm-hmm. up with this slope?
360,ep121,That is a little concerning to me.
361,ep121,"With this small yard, you know, I'll have to get, like, a little small dog, instead of a Doberman that you want."
362,ep121,No! have plenty of community space where you can walk your dog.
363,ep121,I'm on your side.
364,ep121,-Okay. right?
365,ep121,[Shaunda and Leslie laugh]
366,ep121,The space of this home is definitely a big plus for me and Xavier.
367,ep121,There's definitely room for growth.
368,ep121,"But I have this constant battle between my brain and my heart, like, ""This costs, X amount of dollars."
369,ep121,"Are you prepared to pay this X amount of dollars per month?"""
370,ep121,"So, that is like my struggle right now."
371,ep121,"Now, Xavier, I think I have just the thing..."
372,ep121,"that's gonna get you a little more excited, okay?"
373,ep121,Let's take a look at what could be your bedroom.
374,ep121,I like that ceiling.
375,ep121,Vaulted ceilings always make a space feel that much more spacious.
376,ep121,What are you thinking?
377,ep121,That kinda put you in a better mood?
378,ep121,"Yeah, all right."
379,ep121,He's just a tough cookie today.
380,ep121,-Tough cookie.
381,ep121,-[Shaunda laughs]
382,ep121,"Here we go, for our queen."
383,ep121,This beautiful main suite.
384,ep121,"Okay, I like the choice ceiling."
385,ep121,"-Oh, let me see this bathroom here."
386,ep121,Isn't this nice?
387,ep121,"Ooh, I love it."
388,ep121,"-Yes! is gorgeous, And look at this shower, -with the separate tub."
389,ep121,"Oh, yes."
390,ep121,I like the tile.
391,ep121,"I don't think I would want to have a window in the water room, but..."
392,ep121,At least the toilets have never been used.
393,ep121,-The toilet has never been used...
394,ep121,...and can frost the window.
395,ep121,And check out that closet.
396,ep121,Very spacious.
397,ep121,I see it has a little nook over here.
398,ep121,"I can put something up here, just specifically for my wigs."
399,ep121,This is an amazing closet and you can definitely get that chandelier that you've been thinking about.
400,ep121,"I don't know, girl."
401,ep121,"I mean, for $30,000 extra, I don't know."
402,ep121,I may just have to cut back on how many wigs I buy.
403,ep121,[Leslie chuckles]
404,ep121,"My heart is leading me to the bathroom, those granite countertops, the tall showers and the kitchen."
405,ep121,But I am still thinking about that 330K.
406,ep121,"With this particular home, not only are we dealing with the market, we're dealing with the fact that this is the last lot in this neighborhood, okay?"
407,ep121,"Pressure, pressure, pressure."
408,ep121,-No pressure.
409,ep121,"-Pressure, -No pressure."
410,ep121,"-It's pressure, girl."
411,ep121,[both chuckle]
412,ep121,"So, you know I've got your back."
413,ep121,"-I know you do, girl."
414,ep121,Single mom Shaunda's been saving up to finally afford a home for herself and her son.
415,ep121,But she needs to decide if it's worth spending just a little more to meet her lavish tastes.
416,ep121,How are you feeling about the new construction out in Conyers?
417,ep121,I do like the price of that.
418,ep121,"Also, they have a pool out there, so that's a big plus for Xavier."
419,ep121,And I also like the backyard space.
420,ep121,"I like the kitchen and the island, I also love the closet."
421,ep121,"But I would have loved to see more of a modern flooring, at least on the first floor."
422,ep121,What were you thinking about the resale out in Conyers?
423,ep121,That was the biggest one out of all the homes we saw.
424,ep121,"I like the brick accent of it, I love the long driveway, I also like the price of that as well."
425,ep121,"Xavier loved the yard, it would be perfect for a dog."
426,ep121,It does have a lot of space.
427,ep121,"However, inside, it was a little bit dated for me."
428,ep121,I did not like that wall paper.
429,ep121,"And I will have to do something with the countertop, in order to get it up to my taste to how I like it."
430,ep121,"All right, so, Xavier wasn't giving me much on this one, but I want to know, honestly, what are you thinking?"
431,ep121,This is a gorgeous house.
432,ep121,"The neighborhood seems really, really quiet."
433,ep121,"And I do like the flooring, it is really nice."
434,ep121,"And that kitchen, oh, my gosh."
435,ep121,-That is amazing.
436,ep121,Yes. backyard just seems to be a little bit small.
437,ep121,What I'm concerned about is just the price tag of it.
438,ep121,"Being a single mom, you know, I'm just, you know, counting my pennies, just making sure, you know, I'm not spending too much."
439,ep121,And that's totally understandable.
440,ep121,"But over a 30 year loan, it's not that big of a difference."
441,ep121,Maybe a few $100 a month.
442,ep121,I don't want you to miss out on any of these homes.
443,ep121,"So, you're gonna have to make a decision."
444,ep121,[Shaunda sighs]
445,ep121,[doorbell rings]
446,ep121,You were such a little baby.
447,ep121,-You were so tiny.
448,ep121,-I know.
449,ep121,I bought the new home in Conyers.
450,ep121,This home is just so beautiful.
451,ep121,"Also, the sub-division is very family-oriented."
452,ep121,"I mean, there's a club house and a pool."
453,ep121,"So, it just resonated with me and Xavier."
454,ep121,[doorbell rings]
455,ep121,That's grandad.
456,ep121,Go let him in.
457,ep121,I feel really lucky that I had Leslie during this whole process.
458,ep121,She was my advocate for me.
459,ep121,"I was able to get it for 280K, which is amazing."
460,ep121,Especially in this market with the houses flying off the shelves.
461,ep121,"With that extra, what, 20K, I can do my floors."
462,ep121,-Hey! you doing?
463,ep121,I like this house ceiling.
464,ep121,This is wonderful.
465,ep121,"Wow, look at that kitchen."
466,ep121,"One of my favorite things is the kitchen, and I love my closet."
467,ep121,I want to put in a customized clothing rack.
468,ep121,"And I also want to put it in, like, a little bench right up by the window."
469,ep121,My favorite part about this place is the basement.
470,ep121,Everything is all framed in.
471,ep121,"So, that's perfect."
472,ep121,I like that.
473,ep121,I had to make a few compromises with the flooring.
474,ep121,"Later on down the road, I can get the carpet up."
475,ep121,I also compromised on the size of the driveway.
476,ep121,"I just feel like if my friends come over, they will still have somewhere to park."
477,ep121,This is great.
478,ep121,"Yeah, I'm still hoping for the Doberman."
479,ep121,I won't stop trying until it's here.
480,ep121,It means so much to me for me to be able to able to buy a home just being a single mom.
481,ep121,"Sometimes, I'm just speechless because it's like I did it."
482,ep121,Everybody is so proud of me.
483,ep121,And I'm just so excited to have my little munchkin here with me.
484,ep121,Thank you.
485,ep121,-Thank you.
1,ep122,"Oh, my goodness."
2,ep122,Look at this place.
3,ep122,"With their first child about to arrive, Kristen's pushing to spend more to land a fully upgraded home close to DC."
4,ep122,But husband Jared isn't on board.
5,ep122,"Come on, babe."
6,ep122,The price.
7,ep122,He's trying to steer her out to the burbs to get a larger home for less.
8,ep122,I'm loving the neighborhood.
9,ep122,I'm loving the house.
10,ep122,But a dated fixer isn't on her radar.
11,ep122,-This place feels super '80s.
12,ep122,I agree.
13,ep122,But think about this.
14,ep122,"Fresh coat of white paint, hardwoods on this floor."
15,ep122,I feel like it should just stay in the '80s and let somebody else be the ones to do the fixing up.
16,ep122,Will she get the luxury she wants?
17,ep122,Look at this white pristine kitchen.
18,ep122,"We're looking at least a $3,000 mortgage."
19,ep122,I'm personally fine with it.
20,ep122,[theme music playing]
21,ep122,[upbeat music playing]
22,ep122,I'm getting hungry and I'm ready to eat.
23,ep122,I'm a legal project management analyst.
24,ep122,I am a senior business consultant for a software company.
25,ep122,We met at an NBA basketball game.
26,ep122,"He was just super, super nice and very attractive."
27,ep122,She had a sense of style and just energy about her.
28,ep122,You could see how she interacted with all our friends.
29,ep122,And I just had to woo her from then.
30,ep122,And it worked.
31,ep122,Thinking about making some pancakes.
32,ep122,"So we've actually been together now for four years, and we'll be celebrating our one year wedding anniversary very soon."
33,ep122,"And before we make it to that one year anniversary, we will be welcoming a baby boy."
34,ep122,Who's name is gonna be Jalen.
35,ep122,Jalen. I'm actually thinking about hiring a designer -to do the nursery 'cause...
36,ep122,-Excuse me?
37,ep122,Yeah. I think a designer will have like a professional eye for things and textures -and patterns that...
38,ep122,-I just think...
39,ep122,I just feel that's a little extra and over-the-top for a baby.
40,ep122,I would describe Jared as being someone who is very practical.
41,ep122,I think he definitely is way more frugal -that I am.
42,ep122,Sure. we're saving a lot more money for our family.
43,ep122,"Babe, you know where the pans are?"
44,ep122,"Uh, yeah."
45,ep122,You're standing right by there.
46,ep122,Under the stove.
47,ep122,"So for the last few days, we've been house sitting my parent's house."
48,ep122,"Babe, I don't see it."
49,ep122,"We're currently living in Arlington, Virginia in a one-bedroom rental apartment."
50,ep122,"And, really, we are looking for a home because we need space."
51,ep122,I was kind of hoping our time out here has kind of revitalized your love for suburban living.
52,ep122,Not exactly.
53,ep122,Just because like we're gonna become our parents.
54,ep122,I grew up in a single family home in the suburbs.
55,ep122,"However, I've gotten more comfortable with the city lifestyle."
56,ep122,"And because I still have to commute to DC, I do not want to go live in the suburbs."
57,ep122,"I understand that, but my parents are close."
58,ep122,We have built-in babysitters.
59,ep122,"Ideally, I would like to have a traditional single family home, just like the one I grew up in, my parent's house."
60,ep122,We're a young family.
61,ep122,We only have one child.
62,ep122,And I think we can definitely get away with living in a town house.
63,ep122,"Our apartment, there is a pool."
64,ep122,There is a gym.
65,ep122,And I wanna have access to the same amenities that I'm accustomed to.
66,ep122,"The townhouse-style of home, to me, we're still gonna have neighbors on top of us."
67,ep122,We're not gonna be given a space to play.
68,ep122,"A big backyard, to me, represents a lot of my childhood."
69,ep122,The memories of sledding down the hills in the backyard.
70,ep122,I wanna be able to replicate those times with our family as we grow up.
71,ep122,"Down the line as we get older and as our family expands, we can think about potentially having that traditional single family that you're so fond of."
72,ep122,But I think we could definitely do well in a townhome to start.
73,ep122,Townhomes nowadays have like open concept living.
74,ep122,I want the walls to be white.
75,ep122,I want modern and move-in ready.
76,ep122,I also definitely want an island because it's like the center of the kitchen.
77,ep122,"I am comfortable at $500,000."
78,ep122,"I'm more comfortable spending $600,000 on a house, because I think that's what we need to spend in order to get everything that we want."
79,ep122,I feel Jalen kicking me.
80,ep122,We are feeling major pressure.
81,ep122,This baby is coming.
82,ep122,We have to find a place as soon as possible.
83,ep122,[upbeat music playing]
84,ep122,"First stop, a condo in desirable Arlington, exactly where Kristen wants to be."
85,ep122,But selling Jared on the size and cost won't be easy.
86,ep122,Why are we seeing this two-bedroom house again?
87,ep122,You can't beat the location.
88,ep122,"But this location is still 40 minutes away from my parents, so we're not gonna have that help."
89,ep122,"Come on, babe."
90,ep122,The price for a two-bedroom.
91,ep122,"I do love this location, but we're starting a new chapter in our life, and it's time to move a little farther out in the suburbs, I think, where we can get a value for our home."
92,ep122,"-Hey, guys."
93,ep122,"Oh, hey, Lauren."
94,ep122,"-Hi, Lauren."
95,ep122,-Hi. how do you like it?
96,ep122,I heard you guys talking.
97,ep122,I love this place.
98,ep122,It feels traditional.
99,ep122,"It does feel traditional, but there is too many homes feeling traditional all at one time."
100,ep122,"Like, I don't know if I could do this, Lauren."
101,ep122,And I heard $389 for the condo fee?
102,ep122,Yes. comes with a lot though.
103,ep122,"Six pools within this community, -tennis courts..."
104,ep122,Wow. bike paths...
105,ep122,You hear that?
106,ep122,"...tot brought Kristen and Jared to this particular property really for Kristen, but I really wanna discover what Jared's willing to compromise on."
107,ep122,The upper level is renovated.
108,ep122,The lower level is practically not renovated.
109,ep122,But I really feel that this house has so much potential.
110,ep122,"Oh, my goodness."
111,ep122,Okay. floors.
112,ep122,Look at this place.
113,ep122,"It's super bright and airy in here, and really modern."
114,ep122,I love these floors.
115,ep122,What kind of floors are these?
116,ep122,These are gonna be laminate.
117,ep122,They're perfect for the dog and for the baby.
118,ep122,"First impression, it's a little tight in here."
119,ep122,I see a lot of potential.
120,ep122,This would be great like family room.
121,ep122,I don't know.
122,ep122,"I don't think it has the room that we're thinking we need, babe, for our family."
123,ep122,It seems like you're willing to sacrifice a lot -just to be closer to DC.
124,ep122,I am.
125,ep122,"I will say that the space is tight, but the location is prime real estate, and that is a huge selling point for me."
126,ep122,"-Oh, my goodness."
127,ep122,-Yes. knew you're gonna love it.
128,ep122,Here's my white kitchen.
129,ep122,Where is your island?
130,ep122,"Okay. think about if this wall was gone and then we maybe relocated the fridge, then you would space for an island if you wanted."
131,ep122,That does not sound like minor work.
132,ep122,It's not minor.
133,ep122,"And we are at the top at $499,000, so that not really something I'm willing to do."
134,ep122,We're at the top for you.
135,ep122,I'm willing to spend a lot more.
136,ep122,[upbeat music playing]
137,ep122,"Oh, this is..."
138,ep122,Okay. very quiet back here.
139,ep122,-Is that our backyard?
140,ep122,Yes. is...
141,ep122,Just ours?
142,ep122,That is all yours.
143,ep122,I do think it's a little tight.
144,ep122,What happens when Jalen grows up and he needs to run?
145,ep122,You guys can go play outside over there in that grass area.
146,ep122,I don't think I can live with the outside area.
147,ep122,There is not room for me and Jalen to play.
148,ep122,I just can't do it.
149,ep122,[upbeat music playing]
150,ep122,Okay. two bedrooms with that.
151,ep122,Mmm-hmm. like this room.
152,ep122,It's s decent-sized bedroom.
153,ep122,This space is at this point a flex space.
154,ep122,It's like a basement.
155,ep122,Yes. where's the primary?
156,ep122,I'm sorry.
157,ep122,Primary is gonna be around the corner.
158,ep122,But this could also serve as another space for you to come relax and unwind when you need to get time away from me and the baby.
159,ep122,I mean...
160,ep122,But you guys would be right there.
161,ep122,That's where the primary is.
162,ep122,I'm not getting away from anybody in this little house.
